Comparision,,Students,,Expert,Nicad-30,Nicad-40,Nicad-50,MeCC_95_20,MeCC_95_10,MeCC_95_4,MeCC_90_20,MeCC_90_10,MeCC_90_4,MeCC_80_20,MeCC_80_10,MeCC_80_4,MeCC_70_20,MeCC_70_10,MeCC_70_4,MeCC_60_20,MeCC_60_10,MeCC_60_4,MeCC_50_20,MeCC_50_10,MeCC_50_4,SimCad,CCCD-30
mod_cache..cache_out_filter()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..cache_out_filter()-mod_cache..set_cache_store_nostore(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..cache_out_filter()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..mmap_handler()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_file_cache..mmap_handler()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_file_cache..mmap_handler()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
mod_file_cache..mmap_handler()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..add_cache_disable()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
mod_cache..add_cache_disable()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0
mod_cache..add_cache_disable()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_cache_disable()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..add_cache_disable()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..sendfile_handler()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_file_cache..sendfile_handler()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_file_cache..sendfile_handler()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
mod_file_cache..sendfile_handler()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..sendfile_handler()-mod_file_cache..mmap_handler(),,0.25,,Type 2,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
mod_file_cache..sendfile_handler()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..cache_remove_url_filter()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_cache..cache_remove_url_filter()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..cache_remove_url_filter()-http_core..ap_process_http_async_connection(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
mod_cache..cache_remove_url_filter()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..cache_remove_url_filter()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
mod_cache..cache_remove_url_filter()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..cache_remove_url_filter()-mod_file_cache..sendfile_handler(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-mod_cache..set_cache_store_nostore(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..add_ignore_session_id()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-mod_cache..add_cache_disable(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..add_ignore_session_id()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_create_request()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
http_core..http_create_request()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
http_core..http_create_request()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_create_request()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..http_create_request()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_create_request()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_create_request()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
http_core..http_create_request()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_create_request()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..set_keep_alive_max()-http_core..set_keep_alive_timeout(),,0.75,,Type 2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
http_core..set_keep_alive_max()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
http_core..set_keep_alive_max()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..set_keep_alive_max()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..set_keep_alive_max()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
http_core..set_keep_alive_max()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
http_core..set_keep_alive_max()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..set_keep_alive_max()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
http_core..set_keep_alive_max()-mod_cache..add_ignore_session_id(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..set_keep_alive_max()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
http_core..set_keep_alive()-http_core..set_keep_alive_timeout(),,0.75,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
http_core..set_keep_alive()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..set_keep_alive()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..set_keep_alive()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..set_keep_alive()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..set_keep_alive()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
http_core..set_keep_alive()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..set_keep_alive()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..set_keep_alive()-mod_cache..add_ignore_session_id(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..set_keep_alive()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
http_core..set_keep_alive()-http_core..set_keep_alive_max(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
mod_file_cache..cachefilemmap()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..cachefilemmap()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_file_cache..cachefilemmap()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_file_cache..cachefilemmap()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..cachefilemmap()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..register_hooks()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..register_hooks()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..add_ignore_header()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..add_ignore_header()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_cache..add_ignore_session_id(),,1,,Type 2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
mod_cache..add_ignore_header()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-http_core..set_keep_alive_max(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-http_core..set_keep_alive(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_file_cache..cachefilemmap(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..add_ignore_header()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_handler()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_file_cache..file_cache_handler()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_file_cache..file_cache_handler()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_handler()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-mod_cache..add_ignore_session_id(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-http_core..set_keep_alive_max(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_file_cache..file_cache_handler()-http_core..set_keep_alive(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_handler()-mod_file_cache..cachefilemmap(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_file_cache..file_cache_handler()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_handler()-mod_cache..add_ignore_header(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..http_port()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..http_port()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..http_port()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..http_port()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
http_core..http_port()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_cache..register_hooks(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..http_port()-mod_cache..add_ignore_header(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_port()-mod_file_cache..file_cache_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..file_cache_post_config()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_file_cache..mmap_handler(),,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_file_cache..sendfile_handler(),,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-http_core..http_create_request(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..register_hooks(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_cache..add_ignore_header(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-mod_file_cache..file_cache_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..file_cache_post_config()-http_core..http_port(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_factor()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_cache..set_cache_factor()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
