Comparision,,Students,,Expert,Nicad-30,Nicad-40,Nicad-50,MeCC_95_20,MeCC_95_10,MeCC_95_4,MeCC_90_20,MeCC_90_10,MeCC_90_4,MeCC_80_20,MeCC_80_10,MeCC_80_4,MeCC_70_20,MeCC_70_10,MeCC_70_4,MeCC_60_20,MeCC_60_10,MeCC_60_4,MeCC_50_20,MeCC_50_10,MeCC_50_4,SimCad,CCCD-30
mod_cache..set_cache_factor()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_cache..add_ignore_session_id(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-http_core..set_keep_alive_max(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_cache..set_cache_factor()-http_core..set_keep_alive(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_file_cache..cachefilemmap(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_factor()-mod_cache..add_ignore_header(),,0.5,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_file_cache..file_cache_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-http_core..http_port(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_factor()-mod_file_cache..file_cache_post_config(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_maxex()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_cache..set_cache_maxex()-mod_cache..set_cache_store_nostore(),,0.25,,Type 2,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
mod_cache..set_cache_maxex()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
mod_cache..set_cache_maxex()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_maxex()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_maxex()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_maxex()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_maxex()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
mod_cache..set_cache_maxex()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_maxex()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_maxex()-http_core..set_keep_alive_max(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_cache..set_cache_maxex()-http_core..set_keep_alive(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_maxex()-mod_file_cache..cachefilemmap(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_maxex()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_maxex()-mod_cache..add_ignore_header(),,0.5,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_maxex()-mod_file_cache..file_cache_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
mod_cache..set_cache_maxex()-http_core..http_port(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_maxex()-mod_file_cache..file_cache_post_config(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_maxex()-mod_cache..set_cache_factor(),,1,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..set_cache_store_nostore(),,1,,Type 2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mod_cache..set_cache_store_private()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_store_private()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..add_cache_disable(),,0.5,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
mod_cache..set_cache_store_private()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_store_private()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..register_hooks(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_store_private()-mod_cache..add_ignore_header(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_file_cache..file_cache_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
mod_cache..set_cache_store_private()-http_core..http_port(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_file_cache..file_cache_post_config(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_store_private()-mod_cache..set_cache_factor(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_store_private()-mod_cache..set_cache_maxex(),,1,,Type 2,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
mod_cache..create_cache_config()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..create_cache_config()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..register_hooks(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..create_cache_config()-mod_cache..add_ignore_header(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_file_cache..file_cache_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-http_core..http_port(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-mod_file_cache..file_cache_post_config(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..create_cache_config()-mod_cache..set_cache_factor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..set_cache_maxex(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mod_cache..create_cache_config()-mod_cache..set_cache_store_private(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http_core..ap_process_http_connection()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
http_core..ap_process_http_connection()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..ap_process_http_connection()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-http_core..set_keep_alive_max(),,0.25,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
http_core..ap_process_http_connection()-http_core..set_keep_alive(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..ap_process_http_connection()-mod_cache..add_ignore_header(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_file_cache..file_cache_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-http_core..http_port(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_file_cache..file_cache_post_config(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..ap_process_http_connection()-mod_cache..set_cache_factor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..set_cache_maxex(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..set_cache_store_private(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
http_core..ap_process_http_connection()-mod_cache..create_cache_config(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
http_core..http_scheme()-http_core..set_keep_alive_timeout(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
http_core..http_scheme()-mod_cache..set_cache_store_nostore(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
http_core..http_scheme()-http_core..ap_process_http_async_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
http_core..http_scheme()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..http_scheme()-mod_file_cache..mmap_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
http_core..http_scheme()-mod_cache..add_cache_disable(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_scheme()-mod_file_cache..sendfile_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
http_core..http_scheme()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
http_core..http_scheme()-mod_cache..add_ignore_session_id(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
http_core..http_scheme()-http_core..http_create_request(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
http_core..http_scheme()-http_core..set_keep_alive_max(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
http_core..http_scheme()-http_core..set_keep_alive(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
http_core..http_scheme()-mod_file_cache..cachefilemmap(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_scheme()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..http_scheme()-mod_cache..add_ignore_header(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
http_core..http_scheme()-mod_file_cache..file_cache_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
http_core..http_scheme()-http_core..http_port(),,0,,Type 2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1
http_core..http_scheme()-mod_file_cache..file_cache_post_config(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http_core..http_scheme()-mod_cache..set_cache_factor(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
http_core..http_scheme()-mod_cache..set_cache_maxex(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
http_core..http_scheme()-mod_cache..set_cache_store_private(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
http_core..http_scheme()-mod_cache..create_cache_config(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
http_core..http_scheme()-http_core..ap_process_http_connection(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
mod_file_cache..register_hooks()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_file_cache..register_hooks()-mod_cache..set_cache_store_nostore(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_file_cache..register_hooks()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..cache_out_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..register_hooks()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..add_cache_disable(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..cache_remove_url_filter(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_file_cache..register_hooks()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..register_hooks(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..register_hooks()-mod_cache..add_ignore_header(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_file_cache..file_cache_handler(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-http_core..http_port(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_file_cache..file_cache_post_config(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_file_cache..register_hooks()-mod_cache..set_cache_factor(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..set_cache_maxex(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
mod_file_cache..register_hooks()-mod_cache..set_cache_store_private(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
mod_file_cache..register_hooks()-mod_cache..create_cache_config(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mod_file_cache..register_hooks()-http_core..ap_process_http_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0
mod_file_cache..register_hooks()-http_core..http_scheme(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-http_core..set_keep_alive_timeout(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_cache..set_cache_store_nostore(),,0.25,,Type 2,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mod_cache..set_cache_ignore_cachecontrol()-http_core..ap_process_http_async_connection(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_cache..cache_out_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_file_cache..mmap_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_cache..add_cache_disable(),,0.75,,No Clone,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_file_cache..sendfile_handler(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_cache..cache_remove_url_filter(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_cache..add_ignore_session_id(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-http_core..http_create_request(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-http_core..set_keep_alive_max(),,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-http_core..set_keep_alive(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_file_cache..cachefilemmap(),,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
mod_cache..set_cache_ignore_cachecontrol()-mod_cache..register_hooks(),,0,,No Clone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
